word	trans	kk	level	
a/an	一	/? n/	1	
able	能，可以	/ˋeb!/	1	
about	關於	/?ˋba?t/	1	
above	在…上面	/?ˋb?v/	1	
according to	根據	/?ˋk?rd?? tu/	1	
across	穿過	/?ˋkr?s/	1	
act	扮演	/? kt/	1	
action	行動	/ˋ?k??n/	1	
actor/actress	男演員/女演員	/ˋ?kt?/ /ˋ?ktr?s/	1	
add	添加	/? d/	1	
address	地址	/?ˋdr?s/	1	
adult	成人	/ˋd?lt/	1	
afraid	害怕	/?ˋfred/	1	
after	在…以後	/ˋ?ft?/	1	
afternoon	午後	/ˋ?ft?ˋnun/	1	
again	再	/?ˋg?n/	1	
against	反對	/?ˋg?nst/	1	
age	年齡	/ed?/	1	
ago	在…之前	/?ˋgo/	1	
agree(ment)	同意	/?ˋgrim?nt/	1	
ahead	在前	/?ˋh?d/	1	
air	空氣	/?r/	1	
airmail	航空郵政	/ˋ?r?mel/	1	
airplane/plane	飛機	/ˋ?r?plen/	1	
airport	機場	/ˋ?r?port/	1	
all	一切的	/?l/	1	
allow	允許	/?ˋla?/	1	
almost	幾乎	/ˋ?l?most/	1	
alone	單獨的	/?ˋlon/	1	
along	沿著	/?ˋl??/	1	
already	已經	/?lˋr?d?/	1	
also	也	/ˋ?lso/	1	
always	總是	/ˋ?lwez/	1	
am	是	/? m/	1	
among	在…之中	/?ˋm??/	1	
and	和	/? nd/	1	
anger	憤怒	/ˋ??g?/	1	
angry	生氣的	/ˋ??gr?/	1	
animal	動物	/ˋ?n?m!/	1	
another	另外的	/?ˋn???/	1	
answer	回答	/ˋ?ns?/	1	
ant	螞蟻	/? nt/	1	
any	任何的	/ˋ?n?/	1	
anything	任何東西	/ˋ?n??θ??/	1	
ape	大猩猩	/ep/	1	
appear	出現	/?ˋp?r/	1	
apple	蘋果	/ˋ?p!/	1	
April/Apr.	四月	/ˋepr?l/	1	
are	是	/?r/	1	
area	面積	/ˋ?r??/	1	
arm (1)	手臂	/?rm/	1	
army	軍隊	/ˋ?rm?/	1	
around	到處	/?ˋra?nd/	1	
art	藝術	/?rt/	1	
as	當作、如同	/? z/	1	
ask	詢問	/? sk/	1	
at	在…地點	/? t/	1	
August/Aug.	八月	/?ˋg?st/	1	
aunt/auntie/aunty	伯母	/? nt/	1	
autumn/fall	秋天	/ˋ?t?m/ /f?l/	1	
away	隔開	/?ˋwe/	1	
baby	嬰兒	/ˋbeb?/	1	
back	背部	/b? k/	1	
bad	壞的	/b? d/	1	
bag	袋子	/b? g/	1	
ball	球	/b?l/	1	
balloon	氣球	/b?ˋlun/	1	
banana	香蕉	/b?ˋn?n?/	1	
band	綁帶	/b? nd/	1	
bank	銀行或河堤	/b??k/	1	
bar	棒；酒吧	/b?r/	1	
barber	理髮師	/ˋb?rb?/	1	
base	基底	/bes/	1	
baseball	棒球	/ˋbes?b?l/	1	
basic	基礎的	/ˋbes?k/	1	
basket	籃子	/ˋb?sk?t/	1	
basketball	籃球	/ˋb?sk?t?b?l/	1	
bat	球棒或蝙蝠	/b? t/	1	
bath	沐浴；浴缸	/b?θ/	1	
bathe	浸洗	/be?/	1	
bathroom	浴室	/ˋb?θ?rum/	1	
be	是	/bi/	1	
beach	海灘	/bit?/	1	
bear	熊	/b?r/	1	
beat	打、擊	/bit/	1	
beautiful	美麗的	/ˋbjut?f?l/	1	
beauty	美麗	/ˋbjut?/	1	
because	因為	/b?ˋk?z/	1	
become	成為	/b?ˋk?m/	1	
bed	床	/b?d/	1	
bee	蜜蜂	/bi/	1	
before	在…之前	/b?ˋfor/	1	
begin	開始	/b?ˋg?n/	1	
behind	在…後面	/b?ˋha?nd/	1	
believe	相信	/b?ˋliv/	1	
bell	鈴	/b?l/	1	
belong	屬於	/b?ˋl??/	1	
below	在…下面	/b?ˋlo/	1	
beside	在旁邊	/b?ˋsa?d/	1	
best	最好的	/b?st/	1	
better	較好的	/ˋb?t?/	1	
between	在…之間	/b?ˋtwin/	1	
bicycle/bike	腳踏車	/ˋba?s?k!/ /ba?k/	1	
big	大的	/b?g/	1	
bird	鳥	/b?d/	1	
birth	出生	/b?θ/	1	
bit	一點	/b?t/	1	
bite	咬	/ba?t/	1	
black	黑色的	/bl? k/	1	
block	街區	/bl?k/	1	
blood	血	/bl?d/	1	
blow	吹	/blo/	1	
blue	藍色的	/blu/	1	
boat	小船	/bot/	1	
body	身體	/ˋb?d?/	1	
bone	骨頭	/bon/	1	
book	書或預定	/b?k/	1	
born	出生的	/b?rn/	1	
both	兩者都	/boθ/	1	
bottom	底部	/ˋ?t?m/	1	
bowl	碗	/bol/	1	
box	箱子	/b?ks/	1	
boy	男孩	/b??/	1	
brave	勇敢的	/brev/	1	
bread	麵包	/br?d/	1	
break	打破	/brek/	1	
breakfast	早餐	/ˋbr?kf?st/	1	
bridge	橋	/br?d?/	1	
bright	明亮的	/bra?t/	1	
bring	帶來	/br??/	1	
brother	兄弟	/ˋbr???/	1	
brown	褐色	/bra?n/	1	
bug	蟲子	/b?g/	1	
build	建造	/b?ld/	1	
building	建築物	/ˋb?ld??/	1	
bus	巴士	/b?s/	1	
busy	忙碌的	/ˋb?z?/	1	
but	但是	/b?t/	1	
butter	奶油	/ˋb?t?/	1	
butterfly	蝴蝶	/ˋb?t??fla?/	1	
buy	買	/ba?/	1	
by	透過；在…旁邊	/ba?/	1	
cage	獸籠	/ked?/	1	
cake	蛋糕	/kek/	1	
call	呼叫	/k?l/	1	
camel	駱駝	/ˋk?m!/	1	
camera	照相機	/ˋk?m?r?/	1	
camp	營地	/k? mp/	1	
can	可以或罐頭	/k? n/	1	
candy/sweet	糖果	/ˋk?nd?/ /swit/	1	
cap	棒球帽	/k? p/	1	
car	汽車	/k?r/	1	
card	紙牌	/k?rd/	1	
care	關心	/k?r/	1	
careful	小心的	/ˋk?rf?l/	1	
carry	(用手)提、搬、扛	/ˋk?r?/	1	
case	箱子或案件	/kes/	1	
cat	貓	/k? t/	1	
catch	接住、抓住	/k? t?/	1	
cause	原因	/k?z/	1	
cent	分(美元)	/s?nt/	1	
center	中心	/ˋs?nt?/	1	
certain	確切的	/ˋ?t?n/	1	
chair	椅子	/t??r/	1	
chance	機會	/t?? ns/	1	
chart	圖表	/t??rt/	1	
chase	追捕	/t?es/	1	
check	檢查	/t??k/	1	
chick	小雞	/t??k/	1	
chicken	雞	/ˋt??k?n/	1	
chief	領袖	/t?if/	1	
child	小孩	/t?a?ld/	1	
Christmas/Xmas	聖誕節	/ˋkr?sm?s/	1	
church	教堂	/t??t?/	1	
city	城市	/ˋs?t?/	1	
class	班級、等級	/kl? s/	1	
clean	乾淨的	/klin/	1	
clear	清晰的	/kl?r/	1	
climb	爬	/kla?m/	1	
clock	時鐘	/kl?k/	1	
close	接近的或關	/klos/	1	
cloud	雲	/kla?d/	1	
coast	海岸	/kost/	1	
coat	大衣	/kot/	1	
cocoa	可可豆	/ˋkoko/	1	
coffee	咖啡	/ˋk?f?/	1	
cola/Coke	可樂	/ˋkol?/ /kok/	1	
cold	冷的	/kold/	1	
color	顏色	/ˋk?l?/	1	
